ID,Código,Título / archivo,Tipo,Departamento / proceso,Ruta relativa,Revisión actual,Revisión objetivo,Estado documental,Aplicabilidad,Cláusulas relacionadas,Responsable,Aprobador,Fecha última revisión,Próxima revisión,Retención,Medio,Observaciones,SHA-256
48,FG-09,FG-09 Informe de Auditoria Interna CONTRATACIONES.xlsx,Planilla Excel,Calidad,Calidad/Auditorias internas 2025/FG-09 Informe de Auditoria Interna CONTRATACIONES.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,8.4 / IATF 8.4.1–8.4.3,A definir por dueño de proceso,Dirección / autoridad designada,2025-07-07,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,d1d3233769fcfec135862aad83991eb282d819f7b5eecc888ad90e84c116dcfa
49,FG-09,FG-09 Informe de Auditoria Interna PAragolpes.xlsx,Planilla Excel,Calidad,Calidad/Auditorias internas 2025/FG-09 Informe de Auditoria Interna PAragolpes.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-07-10,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,d516e26b8d786088f476443216dbcb3882c98ace2f9585d675eadc2ad15e5d6d
50,FG-09,FG-09 Informe de Auditoria Interna RRHH.xlsx,Planilla Excel,Calidad,Calidad/Auditorias internas 2025/FG-09 Informe de Auditoria Interna RRHH.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,7.1.2; 7.2; 7.3 / IATF 7.2.1–7.3.2,A definir por dueño de proceso,Dirección / autoridad designada,2025-10-23,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,b8a3b89c08c4d03e35045a095a4a3109bfa5643637abcaea1e61af89fc55388f
51,FG-09,FG-09 Informe de Auditoria Interna RUEDAS .xlsx,Planilla Excel,Calidad,Calidad/Auditorias internas 2025/FG-09 Informe de Auditoria Interna RUEDAS .xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-07-10,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,7a0afa2570dc69b1d0a6e12af2adf97b5697abb8e0d639355cfac46261eafa53
52,FG-09,FG-09 Informe de Auditoria Interna sistemas.xlsx,Planilla Excel,Calidad,Calidad/Auditorias internas 2025/FG-09 Informe de Auditoria Interna sistemas.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-07-04,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,adf359dcbc1e9f5a3506fabf5320df2e74825095b74ed576c0a7abc8f55fa5c1
53,FG-09,FG-09 Informe de Auditoria Interna trafico.xlsx,Planilla Excel,Calidad,Calidad/Auditorias internas 2025/FG-09 Informe de Auditoria Interna trafico.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-07-08,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,3da03f7994baf4eaa3edca57a44d41656adfe5bb5a1164fb56b032e517d65a71
54,FG-09,FG-09 Informe de Auditoria Interna trafico2.xlsx,Planilla Excel,Calidad,Calidad/Auditorias internas 2025/FG-09 Informe de Auditoria Interna trafico2.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-06-30,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,af948463d47e868104c98cd4b431caa6da0189d04d177213efe64e547c9c1564
55,FG-09,FG-09 Informe de Auditoria Interna ventas- Proyectos.xlsx,Planilla Excel,Calidad,Calidad/Auditorias internas 2025/FG-09 Informe de Auditoria Interna ventas- Proyectos.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-10-23,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,f1d7d936add9a7aa73cdfd1b8511908b3c965600e2b51b0875c76ac2c67c157e
56,FG-09,FG-09 Informe de Auditoria InternaCalidad.xlsx,Planilla Excel,Calidad,Calidad/Auditorias internas 2025/FG-09 Informe de Auditoria InternaCalidad.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-10-23,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,d36bf6ef0b12cfe184b3a5db2ffc946081964fc6b1e4518d731ea23053c0263b
57,FG-06,FG-06 B. Matriz_de_objetivos_completada.xlsx,Planilla Excel,Calidad,Calidad/Registros/FG-06 B. Matriz_de_objetivos_completada.xlsx,B,C,Vigente — validar contenido y aprobar,Sistema KIMI,5; 6.2; 9.3 / IATF 5.1.1.1–5.1.1.3; 9.3.2.1,A definir por dueño de proceso,Dirección / autoridad designada,2025-10-24,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,1476401f10ff7e713eaaa39ec68affc8dc2c5db0fa08c9e29cb1415177bbc781
58,RD-001,RD-001  Revision por la Dirección 2025.docx,Documento Word,Calidad,Calidad/Registros/RD-001  Revision por la Dirección 2025.docx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,5; 6.2; 9.3 / IATF 5.1.1.1–5.1.1.3; 9.3.2.1,A definir por dueño de proceso,Dirección / autoridad designada,2025-10-23,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,88fee31c56c8ee999c18e1341746cfc95b007f7597542c8111a0a954ef5d561d
59,,~$FG-06 B. Matriz_de_objetivos_completada.xlsx,Planilla Excel,Calidad,Calidad/Registros/~$FG-06 B. Matriz_de_objetivos_completada.xlsx,B,C,Vigente — validar contenido y aprobar,Sistema KIMI,5; 6.2; 9.3 / IATF 5.1.1.1–5.1.1.3; 9.3.2.1,A definir por dueño de proceso,Dirección / autoridad designada,2026-01-08,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,a56509277035f865d54f697560634f21da3e36da0c983cc6f72ebb79ec3b73eb
60,FO-03,FO-03-A._Analisis_riesgo RUEDAS almacen.xlsx,Planilla Excel,Calidad,Calidad/Riesgos/FO-03-A._Analisis_riesgo RUEDAS almacen.xlsx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,6.1 / IATF 6.1.2.1; 6.1.2.3,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-13,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,95277257e06575d5c7197ae3cf6b9719bd3c6f5213be76e7726bac119a63d6c5
61,FO-03,FO-03-A._Analisis_riesgo RUEDAS recepcionn.xlsx,Planilla Excel,Calidad,Calidad/Riesgos/FO-03-A._Analisis_riesgo RUEDAS recepcionn.xlsx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,6.1 / IATF 6.1.2.1; 6.1.2.3,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-13,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,0f29011a15688d2a8c782ecb2c39a78987c9f2369d4ae5e3af9e059da10fec3c
62,FO-03,FO-03-A._Analisis_riesgo_CKDFIAT.xlsx,Planilla Excel,Calidad,Calidad/Riesgos/FO-03-A._Analisis_riesgo_CKDFIAT.xlsx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,6.1 / IATF 6.1.2.1; 6.1.2.3,A definir por dueño de proceso,Dirección / autoridad designada,2025-10-24,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,70421d20c98054d678acb1569fcd973a7b67f48f88a1461cebf6881963e58603
63,FO-03,FO-03-A._Analisis_riesgo_Paragolpes.xlsx,Planilla Excel,Calidad,Calidad/Riesgos/FO-03-A._Analisis_riesgo_Paragolpes.xlsx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,6.1 / IATF 6.1.2.1; 6.1.2.3,A definir por dueño de proceso,Dirección / autoridad designada,2023-11-17,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,169a480b93b809ea2c08b0bd75b3d05bdc6795bcb480a71a699f70a73cba8012
64,FO-03,FO-03-A._Analisis_riesgo_Trafico(1).xlsx,Planilla Excel,Calidad,Calidad/Riesgos/FO-03-A._Analisis_riesgo_Trafico(1).xlsx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,6.1 / IATF 6.1.2.1; 6.1.2.3,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,89aab07e6e92fd8bb9b38962c80c2e2613ed43b45337be277fd33b222ca9a5d3
65,FO-03,FO-03-C-_Analisis_riesgo_Calidad.xlsx,Planilla Excel,Calidad,Calidad/Riesgos/FO-03-C-_Analisis_riesgo_Calidad.xlsx,C,D,Vigente — validar contenido y aprobar,Sistema KIMI,6.1 / IATF 6.1.2.1; 6.1.2.3,A definir por dueño de proceso,Dirección / autoridad designada,2023-11-02,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,03d0b006f16f1ad4ff881c593e775b7dae3346df0df0a78af6ed2fa37e8e7ad3
66,FO-03,FO-03-C-_Analisis_riesgo_RRHH(1).xlsx,Planilla Excel,Calidad,Calidad/Riesgos/FO-03-C-_Analisis_riesgo_RRHH(1).xlsx,C,D,Vigente — validar contenido y aprobar,Sistema KIMI,7.1.2; 7.2; 7.3 / IATF 7.2.1–7.3.2,A definir por dueño de proceso,Dirección / autoridad designada,2024-12-12,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,107f4d3423c54b1465dee3ffb8660ea2815dfe48ab3dff8f8226de2f2bb97fb2
67,FO-03,FO-03-C-_Analisis_riesgo_Ventas.xlsx,Planilla Excel,Calidad,Calidad/Riesgos/FO-03-C-_Analisis_riesgo_Ventas.xlsx,C,D,Vigente — validar contenido y aprobar,Sistema KIMI,6.1 / IATF 6.1.2.1; 6.1.2.3,A definir por dueño de proceso,Dirección / autoridad designada,2024-12-12,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,23c5286667a0d5c14756ce734ea6a795714c7563ff97d0ebc020caaaed383090
68,ICO-P,ICO-P-SG-03_Revision_de_contrato K.doc,Documento Word legado,Comercial,Comercial/En Vigor/ICO-P-SG-03_Revision_de_contrato K.doc,P,Q,Vigente — validar contenido y aprobar,Sistema KIMI,8.4 / IATF 8.4.1–8.4.3,A definir por dueño de proceso,Dirección / autoridad designada,2025-10-21,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,f728f11cd22454a0e6f3baaf02cb59598629e2fc8ac034db1ad5a469e9599f81
69,MP-VT-01,MP-VT-01_Mapa_de_procesos(1).xlsx,Planilla Excel,Comercial,Comercial/En Vigor/MP-VT-01_Mapa_de_procesos(1).xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,8.2; 9.1.2 / IATF 9.1.2.1,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,f14a88666b421b3ca6da9284c8530b3825115b794554f2c37dd04a8d2cf4397f
70,MODELO,Modelo_Project_Approval_v13.xlsx,Planilla Excel,Comercial,Comercial/En Vigor/Modelo_Project_Approval_v13.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,8.2; 9.1.2 / IATF 9.1.2.1,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,0f8560c5fba7044db9a0adf3b6277d516f64ba9d6bdc4356570bdb35efa1b99a
71,P-SG-03,P-SG-03.1_Análisis_de_Factibilidad_y_riesgo_de_proyectos_D.xlsx,Planilla Excel,Comercial,Comercial/En Vigor/P-SG-03.1_Análisis_de_Factibilidad_y_riesgo_de_proyectos_D.xlsx,P,Q,Vigente — validar contenido y aprobar,Sistema KIMI,6.1 / IATF 6.1.2.1; 6.1.2.3,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,505faabe10d0c0e221669f39ae7157600b50c94d97cdcf511a29a48f75b38e4c
72,P-SG-03,P-SG-03.2_Propuesta_Comercial_B.docx,Documento Word,Comercial,Comercial/En Vigor/P-SG-03.2_Propuesta_Comercial_B.docx,P,Q,Vigente — validar contenido y aprobar,Sistema KIMI,8.2; 9.1.2 / IATF 9.1.2.1,A definir por dueño de proceso,Dirección / autoridad designada,2025-10-21,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,925be88bf4c3557e87497fd3572293568eacc17662021a85fb7265d4c0408fb1
73,,~$O-P-SG-03_Revision_de_contrato K.doc,Documento Word legado,Comercial,Comercial/En Vigor/~$O-P-SG-03_Revision_de_contrato K.doc,P,Q,Vigente — validar contenido y aprobar,Sistema KIMI,8.4 / IATF 8.4.1–8.4.3,A definir por dueño de proceso,Dirección / autoridad designada,2026-01-19,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,3b4947cb41ea7621ca84a7734193f9de489bb5043fa3bcbdc78370549f4e542e
74,ICO-P,ICO-P-SG-03_Revision_de_contrato_J.doc,Documento Word legado,Comercial,Comercial/Obsoleto/ICO-P-SG-03_Revision_de_contrato_J.doc,P,P,"Obsoleto — conservar, no usar",Sistema KIMI,8.4 / IATF 8.4.1–8.4.3,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,No aplica,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Bloqueado para uso operativo,653736a185604eb765f48eade8c58d09be417f65f7016577c4a066c866364840
75,P-SG-03,P-SG-03.2_Propuesta_Comercial_A.docx,Documento Word,Comercial,Comercial/Obsoleto/P-SG-03.2_Propuesta_Comercial_A.docx,P,P,"Obsoleto — conservar, no usar",Sistema KIMI,8.2; 9.1.2 / IATF 9.1.2.1,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,No aplica,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Bloqueado para uso operativo,279211f7b3d01600fea18069a24e32e73a815e67fa846474500afc69195b3572
76,P-SG-03,P-SG-03.3_Análisis_de_costo_A.xlsx,Planilla Excel,Comercial,Comercial/Obsoleto/P-SG-03.3_Análisis_de_costo_A.xlsx,P,P,"Obsoleto — conservar, no usar",Sistema KIMI,8.2; 9.1.2 / IATF 9.1.2.1,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,No aplica,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Bloqueado para uso operativo,6e50e9945e42a458616fb2d50ee5cdcd7a9623cf306815d40b2e875b575a7349
77,P-SG-03,P-SG-03.4_Breakdown_de_Costos_Ruedas-CKD_B.xls,Planilla Excel legado,Comercial,Comercial/Obsoleto/P-SG-03.4_Breakdown_de_Costos_Ruedas-CKD_B.xls,P,P,"Obsoleto — conservar, no usar",Sistema KIMI,8.2; 9.1.2 / IATF 9.1.2.1,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,No aplica,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Bloqueado para uso operativo,a4e480cd384c675e34378fbbba5ecb84ba36754c6004adaa2c94105da4321e57
78,POLITICA,Politica.Calidad (4).pdf,PDF / evidencia,Comercial,Comercial/Politica.Calidad (4).pdf,,A,Registro/evidencia — conservar,Sistema KIMI,8.2; 9.1.2 / IATF 9.1.2.1,A definir por dueño de proceso,Dirección / autoridad designada,2022-11-10,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,04fd5c40294b46220e771f4b7733e5a73d6acdb0a328afba451bbea368243293
79,THUMBS,Thumbs.db,DB,Comercial,Comercial/Thumbs.db,,A,Registro/evidencia — conservar,Sistema KIMI,8.2; 9.1.2 / IATF 9.1.2.1,A definir por dueño de proceso,Dirección / autoridad designada,2025-11-18,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,12f4fe3d8446972339607a838e3b95accbea417bcef038a348b1d8a1e6e95320
80,A-ICO-001,A-ICO-001.1_Lineamientos_generales_de_compras_productivas_H.doc,Documento Word legado,Compras DADA,Compras DADA/En Vigor/A-ICO-001.1_Lineamientos_generales_de_compras_productivas_H.doc,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,8.4 / IATF 8.4.1–8.4.3,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,dc58517998a1b48a0ffdba99093f56427552652450fa96297afebcc53c9b81dd
81,A-ICO-003,A-ICO-003._Evaluacion_de_proveedor_Criticos_B_(2).xls,Planilla Excel legado,Compras DADA,Compras DADA/En Vigor/A-ICO-003._Evaluacion_de_proveedor_Criticos_B_(2).xls,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,8.4 / IATF 8.4.1–8.4.3,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,3d69fe8de205b3afae9523ce92ef47044ea717d223568de40840830c42cea8e9
82,A-ICO-004,A-ICO-004._Evaluacion_de_proveedor_por_lanzamiento_de_proyecto_A(1).xls,Planilla Excel legado,Compras DADA,Compras DADA/En Vigor/A-ICO-004._Evaluacion_de_proveedor_por_lanzamiento_de_proyecto_A(1).xls,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,8.4 / IATF 8.4.1–8.4.3,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,4a03d9e39fd74ce182b97afa4750bd140e5a2243c047faea6ccd817ad6c6872b
83,A-ICO-006,A-ICO-006.2_Índice_de_Calidad_de_Proveedores-_IQP_A(1).xls,Planilla Excel legado,Compras DADA,Compras DADA/En Vigor/A-ICO-006.2_Índice_de_Calidad_de_Proveedores-_IQP_A(1).xls,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,8.4 / IATF 8.4.1–8.4.3,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,b2b3ff0b7233d7a29ddf9a0ecc6195ecbf050fb405fdc92ecacca8345532ba7f
84,A-ICO-007,A-ICO-007._Evaluacion_de_transportes_A.xls,Planilla Excel legado,Compras DADA,Compras DADA/En Vigor/A-ICO-007._Evaluacion_de_transportes_A.xls,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,8.4 / IATF 8.4.1–8.4.3,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,1d28d95645559452154da2394c345f84c8e3b20879e2fa12e730891fc0498ed6
85,A-ICO-008,A-ICO-008._Evaluación_de_proveedores_A.xls,Planilla Excel legado,Compras DADA,Compras DADA/En Vigor/A-ICO-008._Evaluación_de_proveedores_A.xls,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,8.4 / IATF 8.4.1–8.4.3,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,976f60325d336161fc26bf778ac9eff2909d60f1be7ba668b736c6d4c37747f9
86,FR-REQUISIC,FR-Requisición_Interna_de_Compra-rev00.xls,Planilla Excel legado,Compras DADA,Compras DADA/En Vigor/FR-Requisición_Interna_de_Compra-rev00.xls,00,00,Vigente — validar contenido y aprobar,Sistema KIMI,8.4 / IATF 8.4.1–8.4.3,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,ee3d2ae64edd0d956e39c7baa27830d7e3f3f04e72bf18e3ebc59f428b00a5c2
87,FR,FR_-_Planilla_de_control_de_recepción_-_rev00.xls,Planilla Excel legado,Compras DADA,Compras DADA/En Vigor/FR_-_Planilla_de_control_de_recepción_-_rev00.xls,00,00,Vigente — validar contenido y aprobar,Sistema KIMI,8.4 / IATF 8.4.1–8.4.3,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,e0778615f84817242ef772b72524a2c5931cbdc3eedf01a248f4c8813a47f90a
88,ICA-010.2,ICA-010.2_Checklist_Auditoria_de_Proceso_B.xls,Planilla Excel legado,Compras DADA,Compras DADA/En Vigor/ICA-010.2_Checklist_Auditoria_de_Proceso_B.xls,B,C,Vigente — validar contenido y aprobar,Sistema KIMI,8.4 / IATF 8.4.1–8.4.3,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,5e9a7be5dfec7dd277e10bff902989021ab422b575f8eab96dc22ebe53ca398b
